fila,individuo,dap_suta,dap_trena,circunferencia
F1,1,17.6,18,53.3
F1,2,15.5,16,48
F1,3,13.5,15.4,43.3
F1,4,12.9,15,42
F1,5,12.1,12,39
F1,6,12.1,13,39
F1,7,9.5,11,31.7
F1,9,11.3,11.8,35.1
F1,10,10.2,9.4,32
F1,11,10.5,14,34.4
F1,12,9.8,10,31.5
F1,13,11.5,11,37.3
F1,14,10.6,10,33.4
F1,15,12.4,12,39
F2,1,14.7,14.5,46.5
F2,2,14.8,15,45.7
F2,3,12.2,13.3,41.1
F2,4,12.8,14,41
F2,5,10.8,11.8,34
F2,6,12.8,13,40.5
F2,7,11.7,11.5,37
F2,8,12.2,13.5,39.6
F2,9,7.6,7.1,25.2
F2,10,11,10,35
F2,11,12.4,10.1,39.3
F2,12,10.5,11.5,34.8
F2,13,12.1,12.5,39
F2,14,14,15.5,43.5
F3,1,15.1,15,49.2
F3,2,14.3,14.5,44.2
F3,3,13.9,13.5,41.5
F3,4,12.8,12.5,39.8
F3,5,13.9,13.5,42.4
F3,6,8.3,8,25.3
F3,7,10.6,10.4,33.2
F3,8,10,9.3,31.2
F3,9,10.9,11.3,37
F3,10,10.1,11.5,32.3
F3,11,10.1,9.5,32.6
F3,12,11.7,11.4,36.4
F3,13,11.1,11,36.7
F3,14,13.1,13.2,43.8
F4,1,13.9,14,44.1
F4,2,13.8,14.9,43.8
F4,3,11.9,12.8,37.2
F4,4,11.2,11,36.2
F4,5,9.3,10.5,30.1
F4,6,8.9,9.2,29.1
F4,7,8,8,26.3
F4,8,9.9,11.2,32.3
F4,9,10.9,9.5,35
F4,10,9.4,10.5,30
F4,11,12.3,12.4,40
F4,12,7.6,8,24.5
F4,13,9,9,30.1
F4,14,10.9,11.4,35.5
F5,1,10.2,9.5,34
F5,2,11.3,12,37.8
F5,3,7,7.3,20.5
F5,4,5.6,6.5,19
F5,5,6.3,7.5,21.5
F5,6,6.6,6.5,19.3
F5,7,5.1,5.8,17.5
F5,8,6.6,7,21.7
F5,9,4.7,5,15.4
F5,10,6,6.5,19.2
F5,11,9.5,10,31
F5,12,9,9.8,30.5
F5,13,12.3,13.5,39.5
F5,14,6.7,7.8,22
