Area;Item;Year;Value
Afghanistan;Crop Residues;2000;168.807
Afghanistan;Crop Residues;2020;427.5284
Afghanistan;Rice Cultivation;2000;509.6
Afghanistan;Rice Cultivation;2020;578.4156
Afghanistan;Burning - Crop residues;2000;92.3047
Afghanistan;Burning - Crop residues;2020;121.4398
Afghanistan;Enteric Fermentation;2000;7619.92
Afghanistan;Enteric Fermentation;2020;10600.4026
Afghanistan;Manure Management;2000;517.4928
Afghanistan;Manure Management;2020;785.3315
Afghanistan;Manure left on Pasture;2000;2247.0318
Afghanistan;Manure left on Pasture;2020;2743.5945
Afghanistan;Manure applied to Soils;2000;343.3925
Afghanistan;Manure applied to Soils;2020;426.4361
Afghanistan;Synthetic Fertilizers;2000;27.5884
Afghanistan;Synthetic Fertilizers;2020;238.0417
Afghanistan;Drained organic soils;2000;0
Afghanistan;Drained organic soils;2020;0
Afghanistan;Drained organic soils (CO2);2000;0
Afghanistan;Drained organic soils (CO2);2020;0
Afghanistan;Drained organic soils (N2O);2000;0
Afghanistan;Drained organic soils (N2O);2020;0
Afghanistan;Forestland;2000;-2388.803
Afghanistan;Forestland;2020;154.6574
Afghanistan;Net Forest conversion;2000;0
Afghanistan;Net Forest conversion;2020;0
Afghanistan;Savanna fires;2000;22.781
Afghanistan;Savanna fires;2020;10.8427
Afghanistan;Fires in organic soils;2000;0
Afghanistan;Fires in organic soils;2020;0
Afghanistan;Forest fires;2000;0.7111
Afghanistan;Forest fires;2020;0
Afghanistan;Fires in humid tropical forests;2000;0
Afghanistan;Fires in humid tropical forests;2020;0
Afghanistan;Agrifood Systems Waste Disposal;2000;937.2475
Afghanistan;Agrifood Systems Waste Disposal;2020;3597.1846
Afghanistan;Fertilizers Manufacturing;2000;21.2784
Afghanistan;Fertilizers Manufacturing;2020;38.2179
Afghanistan;On-farm Electricity Use;2000;4.8508
Afghanistan;On-farm Electricity Use;2020;101.731
Afghanistan;Food Retail;2000;73.7401
Afghanistan;Food Retail;2020;630.7575
Afghanistan;Food Household Consumption;2000;103.4192
Afghanistan;Food Household Consumption;2020;1548.1399
Afghanistan;Food Transport;2000;38.556
Afghanistan;Food Transport;2020;545.3243
Afghanistan;Energy;2000;1154.2895
Afghanistan;Energy;2020;10348.275
Afghanistan;IPPU;2000;164.6033
Afghanistan;IPPU;2020;341.0475
Afghanistan;Waste;2000;2851.265
Afghanistan;Waste;2020;5715.55
Afghanistan;Other;2000;15.317
Afghanistan;Other;2020;93.28
Albania;Crop Residues;2000;36.5125
Albania;Crop Residues;2020;37.9949
Albania;Burning - Crop residues;2000;9.2079
Albania;Burning - Crop residues;2020;7.3725
Albania;Enteric Fermentation;2000;2579.1668
Albania;Enteric Fermentation;2020;1594.0283
Albania;Manure Management;2000;589.8215
Albania;Manure Management;2020;399.1576
Albania;Manure left on Pasture;2000;428.1167
Albania;Manure left on Pasture;2020;294.4972
Albania;Manure applied to Soils;2000;242.0615
Albania;Manure applied to Soils;2020;162.2118
Albania;Synthetic Fertilizers;2000;66.7639
Albania;Synthetic Fertilizers;2020;179.7588
Albania;Drained organic soils;2000;130.538
Albania;Drained organic soils;2020;124.8365
Albania;Drained organic soils (CO2);2000;110.5335
Albania;Drained organic soils (CO2);2020;105.631
Albania;Drained organic soils (N2O);2000;20.0045
Albania;Drained organic soils (N2O);2020;19.2055
Albania;On-farm energy use;2000;248.0653
Albania;On-farm energy use;2020;307.9807
Albania;Forestland;2000;72.8581
Albania;Forestland;2020;-352.0139
Albania;Net Forest conversion;2000;0
Albania;Net Forest conversion;2020;0
Albania;Savanna fires;2000;3.6511
Albania;Savanna fires;2020;2.5732
Albania;Fires in organic soils;2000;0
Albania;Fires in organic soils;2020;0
Albania;Forest fires;2000;77.5332
Albania;Forest fires;2020;0
Albania;Fires in humid tropical forests;2000;0
Albania;Fires in humid tropical forests;2020;0
Albania;Agrifood Systems Waste Disposal;2000;500.1149
Albania;Agrifood Systems Waste Disposal;2020;687.6005
Albania;Pesticides Manufacturing;2000;4
Albania;Pesticides Manufacturing;2020;8
Albania;On-farm Electricity Use;2000;9.52
Albania;On-farm Electricity Use;2020;1.0559
Albania;Food Processing;2000;35.7348
Albania;Food Processing;2020;73.8525
Albania;Food Packaging;2000;15.9217
Albania;Food Packaging;2020;57.0829
Albania;Food Retail;2000;11.1932
Albania;Food Retail;2020;186.3487
Albania;Food Household Consumption;2000;64.9993
Albania;Food Household Consumption;2020;164.8518
Albania;Food Transport;2000;177.8994
Albania;Food Transport;2020;262.7122
Albania;Energy;2000;3252.81
Albania;Energy;2020;4433.775
Albania;IPPU;2000;245.5081
Albania;IPPU;2020;1386.8821
Albania;Waste;2000;380.565
Albania;Waste;2020;553.95
Albania;Other;2000;29.15
Albania;Other;2020;33.125
Algeria;Crop Residues;2000;91.8452
