dia,m,prec,tmax,tmed,tmin,urmax,urmed,urmin,dirvent,velvent,rajada
01/01/2022,01,0,21.221,20.612,20.185,100,99.47,99.018,0,0,0
01/01/2022,01,0,20.468,19.816,19.365,100,99.885,99.577,0,0,0
01/01/2022,01,0,19.691,19.355,18.997,100,99.998,99.894,0,0,0
01/01/2022,01,0,20.017,19.24,18.73,100,100,100,0,0,0
01/01/2022,01,0,20.54,20.188,19.83,100,100,100,0,0,0
01/01/2022,01,0,20.711,20.237,19.888,100,100,100,79.834,0.331,1.493
01/01/2022,01,0,20.201,19.701,19.122,100,100,100,0,0,0
01/01/2022,01,0,20.046,19.48,19.109,100,100,100,0,0,0
01/01/2022,01,0,22.1,21.248,0,100,99.306,0,0,0,0
01/01/2022,01,0,25.955,24.278,22.057,100,88.984,78.561,286.582,0.087,2.09
01/01/2022,01,0,27.729,26.822,25.827,79.856,74.542,70.704,283.02,0.458,3.882
01/01/2022,01,0,27.798,26.928,26.07,86.01,81.629,72.875,213.415,2.833,5.972
01/01/2022,01,0,27.528,27.186,26.85,86.041,83.282,81.263,221.54,3.561,5.972
01/01/2022,01,0,28.038,27.4,27.106,86.198,83.187,77.994,208.326,3.572,6.271
01/01/2022,01,0,28.623,28.139,27.528,83.163,77.697,73.315,211.331,3.8,6.569
01/01/2022,01,0,28.666,28.294,28.038,79.835,75.729,71.697,223.903,4.388,7.166
01/01/2022,01,0,28.666,28.245,27.897,80.405,76.686,73.237,229.406,4.154,6.868
01/01/2022,01,0,28.268,27.932,27.729,80.924,77.956,73.579,226.312,3.664,6.868
01/01/2022,01,0,27.969,27.58,26.949,80.186,77.023,72.773,225.838,3.624,6.271
01/01/2022,01,0,27.189,26.741,26.311,81.528,80.115,78.945,222.195,3.339,5.972
01/01/2022,01,0,26.337,25.656,25.205,86.157,83.777,80.746,241.611,2.628,5.375
01/01/2022,01,0,25.304,25.052,24.85,87.699,86.975,85.999,281.226,1.736,4.479
01/01/2022,01,0,24.85,24.032,23.08,93.228,90.057,87.699,270.08,0.085,1.792
01/01/2022,01,0,23.929,22.869,22.511,97.018,95.272,93.156,321.655,0.141,2.09
02/01/2022,01,0,24.34,24.056,23.403,94.067,91.764,90.862,302.95,0.632,2.389
02/01/2022,01,0,24.481,24.213,23.59,94.09,92.938,92.587,319.247,1.243,2.687
02/01/2022,01,0,25.005,24.744,24.452,93.096,92.126,91.526,356.619,1.917,3.882
02/01/2022,01,0,24.85,24.69,24.538,93.257,92.202,91.689,9.29,2.046,4.18
02/01/2022,01,0,24.765,24.664,24.481,93.678,93.347,92.95,3.343,2.625,4.778
02/01/2022,01,0,24.508,24.135,23.744,95.594,94.836,93.571,27.377,2.256,3.882
02/01/2022,01,0,23.929,23.782,23.646,95.228,94.219,93.557,34.525,2.337,4.479
02/01/2022,01,0,24.975,24.21,23.702,93.614,91.398,88.166,14.302,2.581,3.882
02/01/2022,01,0,25.942,25.5,24.975,89.388,88.121,86.457,0.661,3.535,5.673
02/01/2022,01,0,27.515,26.76,25.843,87.267,83.104,78.796,356.873,3.808,5.673
02/01/2022,01,0,28.311,27.84,27.472,81.767,78.48,76.624,355.778,4.059,6.271
02/01/2022,01,0,29.94,29.11,28.268,78.712,72.848,68.508,354.77,4.556,7.465
02/01/2022,01,0,30.805,30.251,29.673,74.004,70.697,68.311,329.506,4.783,8.361
02/01/2022,01,0,31.229,30.828,30.58,76.519,72.785,68.996,325.469,5.086,8.361
02/01/2022,01,0,31.585,31.157,30.874,77.219,73.606,71.131,326.37,5.134,8.361
02/01/2022,01,0,31.601,31.194,30.933,76.14,73.795,71.172,328.714,5.142,7.764
02/01/2022,01,0,31.825,31.159,30.209,80.013,74.784,71.528,310.66,3.899,6.868
02/01/2022,01,0,31.104,30.043,28.38,82.594,78.313,74.033,282.375,2.943,5.972
02/01/2022,01,0,29.16,28.522,28.126,84.631,81.814,77.604,293.185,2.984,5.076
02/01/2022,01,0,28.436,27.736,27.048,84.438,81.857,79.583,337.884,2.942,5.375
02/01/2022,01,0,27.061,26.564,26.337,87.306,85.958,84.342,319.932,4.295,6.868
