DAP,SOM,REP,MST,AF
21,50,1,4.30545,846.98385
21,50,2,5.24885,1607.2771
21,50,3,4.49865,1320.03085
21,50,4,4.61095,1566.60755
21,70,1,4.1179,1206.1421
21,70,2,5.5218,1863.11625
21,70,3,5.2692,1774.02915
21,70,4,4.2625,1307.25995
21,100,1,5.23995,1203.2937
21,100,2,5.69955,1298.6272
21,100,3,4.73045,1110.1564
21,100,4,5.35095,1265.78765
28,50,1,7.5706,3016.8855
28,50,2,6.5639,2723.6285
28,50,3,6.1564,2590.2911
28,50,4,8.43045,2929.74005
28,70,1,9.0961,3804.1092
28,70,2,8.0466,3543.14055
28,70,3,7.682,2991.0481
28,70,4,8.00635,2914.02955
28,100,1,11.7117,3400.01305
28,100,2,11.4009,3581.65275
28,100,3,7.26755,1900.6996
28,100,4,8.36065,2644.47895
35,50,1,12.30785,5016.42875
35,50,2,10.73315,3648.3589
35,50,3,10.8614,3925.33325
35,50,4,10.9785,4705.2685
35,70,1,15.7518,6118.4251
35,70,2,13.30495,5614.23305
35,70,3,13.88435,5109.94435
35,70,4,13.09225,4975.85695
35,100,1,16.9224,5464.528
35,100,2,14.93085,5551.95115
35,100,3,16.129,5723.84875
35,100,4,15.78145,5869.69745
